TeamId,TeamName,SubmissionDate,Score
6815503,DungNB,"2021-08-08 03:56:39",0.658
6823597,"RTX 4090","2021-08-09 14:58:43",0.654
6817202,"Ayushman   Nischay   Shivam","2021-08-09 14:15:50",0.653
6815267,"[Aillis] Yuji & Ian","2021-08-09 12:24:37",0.650
6968613,"[dsmlkz] School Zerde","2021-08-09 14:53:23",0.648
6818936,"A Team","2021-08-09 00:18:53",0.648
6897960,LvLanLanLanLv,"2021-08-09 14:43:40",0.647
6815527,"Guanshuo Xu","2021-08-09 14:22:33",0.647
6817029,Watercooled,"2021-08-09 13:43:23",0.646
7013014,CGG,"2021-08-09 14:39:58",0.646
6826446,Train4Ever,"2021-08-09 14:18:43",0.645
6822372,__________,"2021-08-09 15:20:21",0.644
6815226,Inoichan,"2021-08-09 16:14:31",0.644
6995489,rise,"2021-08-09 16:27:53",0.644
6821404,"Gold diggers","2021-08-09 10:10:13",0.644
6820941,Schwert,"2021-08-09 16:37:51",0.644
6861408,∫ℳΓϒℏ,"2021-08-09 03:45:55",0.642
6820844,Magikarp,"2021-08-09 10:59:15",0.641
6820661,"Covid go away","2021-08-09 17:25:50",0.641
7164020,"mHealth Lab","2021-08-09 18:32:34",0.641
6817615,"Shihao Shao","2021-08-09 16:51:55",0.639
7056519,Yolo,"2021-08-09 16:10:14",0.638
6822877,Yuval-Nurit-Rafi-OrKatz,"2021-08-09 14:24:51",0.638
6859268,"Rai - adityasinha","2021-08-09 17:21:02",0.638
6815184,"BabaCondaRabbit -trust us","2021-08-09 15:38:44",0.637
6854977,DQGS,"2021-08-09 17:14:45",0.637
7035105,"Eduardo Rocha de Andrade","2021-08-09 20:17:46",0.637
6839557,"RTX 3090","2021-08-09 14:38:40",0.636
6882877,D.Imanishi,"2021-08-09 09:15:31",0.636
6976011,4RIL,"2021-08-09 16:58:32",0.636
6903817,"Quanta AI Lab","2021-08-08 11:19:49",0.636
7057632,CroDoc,"2021-08-09 12:46:55",0.635
6992753,x,"2021-08-09 15:36:05",0.635
6887924,IceKredit,"2021-08-09 14:37:44",0.635
6818118,"fate & atom1231","2021-08-09 16:48:53",0.635
6924944,Amalgam,"2021-08-09 15:18:09",0.634
6837056,Fideuà,"2021-08-08 21:50:29",0.634
6978211,Oltau.ai,"2021-08-09 19:48:09",0.633
6824439,"‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎'","2021-08-08 21:23:14",0.633
6822953,"Mikhail Gurevich","2021-08-09 14:33:48",0.633
6883213,Aksell,"2021-08-09 13:37:41",0.633
6817301,"Hungry for gold","2021-08-09 17:22:32",0.632
6833650,"Shashwat Raman","2021-08-09 17:44:18",0.632
6997322,chadwick,"2021-08-07 02:28:09",0.632
6899150,DSB01,"2021-08-09 15:21:27",0.632
6816328,¿,"2021-08-09 14:57:19",0.632
7016823,youyou,"2021-08-09 12:28:55",0.630
7025205,Lourie,"2021-08-08 03:08:37",0.630
6824356,KWK,"2021-08-09 16:16:55",0.630
6822235,"Agastya Kumar","2021-08-09 17:25:51",0.630
6928742,欢迎来到混沌,"2021-08-09 09:50:46",0.629
6849868,furu,"2021-08-09 15:02:48",0.629
6856466,"Emin Ozturk","2021-08-03 09:05:10",0.629
6827782,DIGIMAN,"2021-08-09 18:02:30",0.629
6825838,AsadKhan,"2021-08-09 16:07:59",0.629
6818850,"Zaakcii Ru","2021-08-09 13:06:36",0.629
6985227,"Yuki & schulta","2021-08-09 16:18:22",0.628
6874392,PIkachu,"2021-08-09 16:34:33",0.628
6840829,baspan_ka_pyaar.[CyberLabs],"2021-08-09 16:59:45",0.628
6962879,[Kor]COVID-solver,"2021-08-09 17:20:36",0.628
6816583,"Ahmed El Bakry","2021-08-09 18:08:08",0.627
6914709,"Manuel Campos","2021-08-09 14:31:08",0.626
6820765,MasayaMatsuda,"2021-08-09 20:52:41",0.626
6833167,kozistr,"2021-08-09 02:33:31",0.626
6833977,"Puck Wang","2021-08-09 10:05:21",0.626
6837945,CMUH-AIC,"2021-08-09 13:19:48",0.626
6835816,amaxer,"2021-08-09 04:13:52",0.626
6854594,jp-xx,"2021-08-06 08:34:49",0.625
6839531,sushi,"2021-08-09 15:32:53",0.625
6932966,"Give me your hand","2021-08-09 17:57:12",0.625
6831877,:),"2021-08-09 07:33:58",0.625
6842712,erkut-oguzhan,"2021-08-09 20:01:59",0.625
6816907,kidolabo,"2021-08-09 16:56:14",0.624
6830889,Lianne,"2021-08-09 14:20:15",0.624
6854803,Zonipy,"2021-08-09 12:26:42",0.624
6820662,"Final Push","2021-08-09 15:15:59",0.624
7112499,"not not to be","2021-08-09 04:00:46",0.624
6835906,AZgeum,"2021-08-09 14:54:27",0.624
6819319,KS,"2021-08-09 14:29:13",0.624
6831725,Statking,"2021-08-09 12:41:13",0.624
6899542,"Shivaprasad Kallimani","2021-08-09 18:07:27",0.624
6877896,OmarArias86,"2021-08-08 14:54:39",0.623
6819311,Alien,"2021-08-09 15:34:56",0.623
6815928,"-Hide On Bush-","2021-08-09 00:15:36",0.623
7123696,taricchen,"2021-08-09 04:49:03",0.623
6815520,"Alone in the dark","2021-08-09 12:32:07",0.623
6828057,Elahi,"2021-08-09 11:58:50",0.623
6831476,:\,"2021-08-05 09:15:36",0.623
6822524,greylord1996,"2021-08-08 23:50:17",0.622
6965371,R,"2021-08-09 20:12:34",0.622
6816523,"Hung Khoi","2021-08-09 19:48:28",0.622
6905018,KuntAI,"2021-08-09 09:18:17",0.622
6983694,"Valery Nikiforov","2021-08-04 19:41:16",0.622
7008935,Oz,"2021-08-09 16:28:01",0.622
6904894,"NMT Hiếu","2021-08-08 12:43:36",0.621
6851648,Illidefont,"2021-08-09 18:58:17",0.621
6824684,"Suman Sahoo","2021-08-09 17:17:52",0.621
7067379,"Andrew Didenko","2021-08-09 08:49:59",0.621
6817959,AMPS,"2021-08-09 21:01:26",0.621
6824358,"Kerem Turgutlu","2021-07-21 05:14:45",0.621
6851052,"Lior Toledano","2021-08-09 16:23:34",0.621
6815262,takuoko,"2021-08-09 13:47:41",0.620
6816761,T-yaiga,"2021-08-09 15:14:59",0.620
6913673,"Future Gadget Lab 2025","2021-08-09 13:27:22",0.619
6853753,"Sachin Rastogi","2021-08-09 18:56:26",0.619
6878049,Cerebrum,"2021-08-09 15:06:53",0.619
6818031,HuaiDuWu,"2021-08-09 11:40:50",0.619
6887002,LuzhangCV,"2021-08-09 07:05:32",0.619
6819032,Swift,"2021-08-09 22:09:03",0.619
6815526,[百折不撓の]tanuki,"2021-08-09 15:18:55",0.619
6995650,"The Revenant","2021-08-09 19:19:06",0.619
6844726,吾乃又卷又菜之卷心菜,"2021-08-09 18:27:14",0.619
6852670,"TEY KAIHONG","2021-08-08 16:36:15",0.619
6915423,"hello kaggle","2021-08-09 13:34:21",0.619
6846111,"shakedown 👇👇👇","2021-08-09 05:30:48",0.618
6822653,IC2,"2021-08-09 23:01:20",0.618
6972552,Tani_1961,"2021-08-09 01:51:22",0.618
6817574,fff,"2021-08-09 14:43:35",0.618
6843404,"[Deleted] ec70ab35-bdfe-4f2f-93fe-6e39ac4c8af8","2021-07-30 01:31:39",0.618
6817677,Richard_Liu,"2021-08-09 06:50:48",0.618
6983035,linwangolo,"2021-08-09 17:21:11",0.618
6850082,"Tung Shu-Cheng","2021-08-09 14:45:28",0.618
6828940,JinMing,"2021-08-09 12:30:04",0.618
6890148,PT,"2021-08-08 13:14:28",0.617
6817558,"Artem Toporov","2021-08-09 06:40:56",0.617
6818606,"Andrey Zotov","2021-08-08 10:12:20",0.617
7111321,"Rishiraj Acharya","2021-08-09 14:59:02",0.617
6937699,lee0s1y2,"2021-08-09 06:39:04",0.617
7109194,SourojitBhaduri,"2021-08-09 13:40:39",0.617
6936611,"Kuo-Hsin Tu","2021-08-09 15:22:56",0.617
6961640,SeongwookLee,"2021-08-08 10:50:21",0.617
6828995,将军,"2021-08-09 18:10:14",0.617
6988023,CFI,"2021-08-08 09:42:52",0.617
6822751,"Raghawendra Singh","2021-08-09 17:12:08",0.617
6855186,"Almaty AILab","2021-08-09 10:41:30",0.617
6828903,Synbrain,"2021-08-09 14:38:11",0.617
6815733,"Aman Arora","2021-08-04 02:18:12",0.616
7147011,"Pritam Mishra #2","2021-08-09 19:05:04",0.616
6830384,"Itamar Dvir","2021-08-09 23:49:41",0.616
6827059,"Lawrence Tan","2021-08-09 09:31:21",0.616
6853655,Nazarko,"2021-08-09 09:25:07",0.616
6848760,KK,"2021-08-09 17:05:04",0.616
6901827,Devs_,"2021-08-03 18:50:52",0.616
6865988,eigaas,"2021-08-08 22:23:01",0.616
6841052,Nandanam,"2021-08-06 17:34:01",0.616
7136144,"Pritam Mishra","2021-08-09 20:14:54",0.616
6835891,Khubchandani,"2021-08-09 14:29:45",0.616
6824885,"Prashant Kikani","2021-08-08 10:28:25",0.616
6930918,"Berrie Z","2021-08-08 19:17:58",0.616
7131095,dlidli,"2021-08-09 13:20:33",0.616
7031773,Kirderf,"2021-08-09 13:18:30",0.615
7030689,"project colab","2021-08-09 19:18:28",0.615
7023286,DCS404,"2021-08-09 12:13:47",0.615
7084688,"Dan Bilzerian","2021-08-09 15:11:57",0.615
6896333,denred0,"2021-08-09 10:58:37",0.615
6828781,"Peter KK","2021-08-09 20:00:58",0.615
6879956,"C teams","2021-08-09 07:17:41",0.615
7178539,"= =","2021-08-09 10:28:37",0.615
6815215,"[Deleted] c99beac7-8888-4cdb-9d8c-66354faf3509","2021-08-09 08:59:04",0.615
6983763,givkashi,"2021-08-09 19:13:55",0.615
7089850,"Learning with Đặng","2021-08-09 18:13:08",0.615
7129681,BIZEN,"2021-08-09 08:47:03",0.615
6901531,"Tatiana Malygina","2021-08-09 04:39:56",0.615
6999934,GuiGui,"2021-08-03 02:17:32",0.615
7122438,Tatsumi_crub,"2021-08-09 19:18:57",0.615
7118297,Datalife.ai,"2021-08-09 19:03:21",0.615
6869241,Chairs,"2021-08-07 23:25:56",0.615
6898268,ilovekaggletoo,"2021-08-09 10:11:02",0.615
6825919,M2R,"2021-08-09 08:47:11",0.615
7084709,"go corona go","2021-08-09 15:16:29",0.615
6895172,･ω･;;,"2021-08-09 21:30:41",0.615
